shapeid,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
0,39,93,71500,1,3.90931E+11,Block Group 1,G5030,S,11568977,7723,41.3237824,-82.1456165
1,39,93,77100,1,3.90931E+11,Block Group 1,G5030,S,1802216,53712,41.3153955,-82.0748623
2,39,93,77100,2,3.90931E+11,Block Group 2,G5030,S,5838300,254664,41.2971313,-82.0767332
3,39,93,77100,3,3.90931E+11,Block Group 3,G5030,S,29480438,250342,41.287063,-82.1281309
4,39,61,10004,3,3.9061E+11,Block Group 3,G5030,S,513356,0,39.1265217,-84.5835633
5,39,61,21801,1,3.9061E+11,Block Group 1,G5030,S,1115212,0,39.21876,-84.5391437
6,39,61,20501,1,3.9061E+11,Block Group 1,G5030,S,16463621,413600,39.2335766,-84.6895623
7,39,61,1000,2,3.9061E+11,Block Group 2,G5030,S,172440,0,39.1096245,-84.5121748
8,39,61,1800,2,3.9061E+11,Block Group 2,G5030,S,289732,0,39.1159865,-84.5070869
9,39,17,10910,1,3.9017E+11,Block Group 1,G5030,S,973296,0,39.3209748,-84.565546
10,39,57,200500,1,3.90572E+11,Block Group 1,G5030,S,2195635,0,39.8144937,-84.0072965
11,39,57,200900,3,3.90572E+11,Block Group 3,G5030,S,11350018,32996,39.7965809,-83.9935037
12,39,17,10911,3,3.9017E+11,Block Group 3,G5030,S,1525083,0,39.3320342,-84.5775855
13,39,17,11200,2,3.9017E+11,Block Group 2,G5030,S,4127214,0,39.4366903,-84.3591933
14,39,57,210200,2,3.90572E+11,Block Group 2,G5030,S,2719946,3333,39.7334756,-84.0758483
15,39,57,210402,2,3.90572E+11,Block Group 2,G5030,S,3383931,2092,39.7053818,-84.091571
16,39,57,240600,5,3.90572E+11,Block Group 5,G5030,S,522103,0,39.683847,-83.9253424
17,39,81,200,1,3.9081E+11,Block Group 1,G5030,S,1919838,64101,40.3795118,-80.6239615
18,39,81,400,2,3.9081E+11,Block Group 2,G5030,S,239845,0,40.3679778,-80.6257063
19,39,81,11402,1,3.9081E+11,Block Group 1,G5030,S,11416660,903837,40.4137648,-80.6368859
20,39,81,11100,1,3.9081E+11,Block Group 1,G5030,S,14857808,0,40.4651449,-80.9127651
21,39,81,12100,2,3.9081E+11,Block Group 2,G5030,S,28616160,46127,40.1836022,-80.8375957
22,39,81,11401,1,3.9081E+11,Block Group 1,G5030,S,48455789,277130,40.4882203,-80.6975813
23,39,81,11900,2,3.9081E+11,Block Group 2,G5030,S,19984216,129372,40.2747115,-80.6584428
24,39,81,11100,2,3.9081E+11,Block Group 2,G5030,S,31039211,95634,40.536729,-80.8741097
25,39,81,11401,2,3.9081E+11,Block Group 2,G5030,S,17028294,529841,40.4968326,-80.631162
26,39,81,11500,3,3.9081E+11,Block Group 3,G5030,S,49191947,69159,40.4239519,-80.8341522
27,39,81,12000,1,3.9081E+11,Block Group 1,G5030,S,36215608,238392,40.2410013,-80.7700159
28,39,17,100,5,3.9017E+11,Block Group 5,G5030,S,433779,14939,39.3551565,-84.5531321
29,39,17,100,6,3.9017E+11,Block Group 6,G5030,S,485369,0,39.3577684,-84.5616289
30,39,17,200,1,3.9017E+11,Block Group 1,G5030,S,367072,0,39.3765922,-84.5548226
