shapeid,x,y
0,-82.166536,41.313638
0,-82.166465,41.314152
0,-82.166397,41.319167
0,-82.166274,41.328248
0,-82.166169,41.333938
0,-82.165967,41.336629
0,-82.165954,41.3376
0,-82.165865,41.344399
0,-82.165852,41.345438
0,-82.165838,41.346476
0,-82.165837,41.34659
0,-82.165806,41.348875
0,-82.165801,41.349083
0,-82.165761,41.352323
0,-82.165657,41.352322
0,-82.165224,41.352318
0,-82.15598,41.352238
0,-82.154994,41.352229
0,-82.154245,41.352223
0,-82.149157,41.352179
0,-82.148746,41.352175
0,-82.145559,41.352148
0,-82.142124,41.352119
0,-82.141638,41.352116
0,-82.141134,41.352112
0,-82.138637,41.352096
0,-82.13815,41.351568
0,-82.136461,41.349571
0,-82.13623,41.349299
0,-82.135586,41.348538
0,-82.13553,41.348472
0,-82.135509,41.34844
0,-82.135037,41.347716
0,-82.134292,41.346575
0,-82.134016,41.346152
0,-82.133973,41.346062
0,-82.133877,41.345861
0,-82.133705,41.3455
0,-82.133393,41.344844
0,-82.133309,41.344667
0,-82.13132,41.340491
0,-82.130247,41.336568
0,-82.12428,41.336552
0,-82.124493,41.335332
0,-82.124883,41.335072
0,-82.126109,41.334142
0,-82.126528,41.333793
0,-82.126881,41.333439
0,-82.127191,41.333064
0,-82.127738,41.332312
0,-82.1279,41.332088
0,-82.128336,41.331486
0,-82.128517,41.331247
0,-82.128954,41.33075
0,-82.129444,41.330285
0,-82.130946,41.329033
0,-82.131755,41.328303
0,-82.132387,41.327665
0,-82.133031,41.32701
0,-82.133168,41.32687
0,-82.133357,41.326676
0,-82.133762,41.32625
0,-82.135059,41.324849
0,-82.13599,41.323813
0,-82.136099,41.323691
0,-82.136178,41.323604
0,-82.137101,41.322577
0,-82.137783,41.321773
0,-82.13858,41.320752
0,-82.139054,41.320046
0,-82.139687,41.319036
0,-82.141229,41.316575
0,-82.14245,41.314625
0,-82.143165,41.313529
0,-82.143265,41.313375
0,-82.150563,41.313398
0,-82.165814,41.313454
0,-82.166419,41.313456
0,-82.166479,41.313452
0,-82.166573,41.313452
0,-82.166536,41.313638
1,-82.081676,41.310768
1,-82.081665,41.310841
1,-82.081647,41.310918
1,-82.081621,41.310994
1,-82.081585,41.311067
1,-82.081348,41.311425
1,-82.081319,41.311486
1,-82.081286,41.311592
1,-82.081255,41.31174
1,-82.080786,41.313967
1,-82.080101,41.317226
1,-82.079447,41.320003
1,-82.079053,41.321677
1,-82.079026,41.321792
1,-82.078918,41.322248
1,-82.078844,41.32247
1,-82.078657,41.32289
1,-82.07847,41.323311
1,-82.078394,41.323482
1,-82.078263,41.323777
1,-82.07809,41.324129
1,-82.078044,41.32421
1,-82.077989,41.324288
1,-82.077925,41.324362
1,-82.077853,41.324432
1,-82.077773,41.324496
1,-82.077686,41.324555
1,-82.077593,41.324608
1,-82.077157,41.324833
1,-82.076985,41.324915
1,-82.076763,41.325004
1,-82.076532,41.325077
1,-82.076293,41.325135
1,-82.075917,41.325199
1,-82.075788,41.325231
1,-82.075663,41.32527
1,-82.075543,41.325318
1,-82.075517,41.325331
1,-82.075429,41.325374
1,-82.075322,41.325436
1,-82.075227,41.325503
1,-82.074646,41.325942
1,-82.074541,41.326014
1,-82.074429,41.326078
1,-82.07431,41.326135
1,-82.074185,41.326183
1,-82.074054,41.326223
1,-82.073803,41.326291
1,-82.073703,41.326322
1,-82.073606,41.326359
1,-82.07353,41.326394
1,-82.072721,41.326802
1,-82.072041,41.326296
1,-82.070894,41.325442
1,-82.070841,41.325403
1,-82.070774,41.325352
1,-82.070526,41.325141
1,-82.070348,41.32496
1,-82.070304,41.324915
1,-82.070153,41.324731
1,-82.070109,41.324676
1,-82.069942,41.324425
1,-82.069805,41.324163
1,-82.069699,41.323894
1,-82.069678,41.323819
1,-82.069624,41.323619
1,-82.069581,41.32334
1,-82.069571,41.323059
1,-82.069618,41.320877
1,-82.069688,41.317633
1,-82.069717,41.316512
1,-82.069725,41.316195
1,-82.069728,41.31606
1,-82.069732,41.315928
1,-82.069737,41.31573
1,-82.06975,41.315228
1,-82.069751,41.315168
1,-82.069752,41.315125
1,-82.06978,41.31401
1,-82.069944,41.308147
1,-82.069992,41.306418
1,-82.071672,41.306429
1,-82.07933,41.306477
1,-82.07992,41.306531
1,-82.080144,41.30656
1,-82.080339,41.3066
1,-82.080916,41.306737
1,-82.081473,41.306821
1,-82.081744,41.31033
1,-82.081676,41.310768
2,-82.090916,41.320246
2,-82.09084,41.321053
2,-82.090812,41.321352
2,-82.090657,41.323025
2,-82.090645,41.323175
2,-82.090625,41.323635
2,-82.090571,41.324795
2,-82.090563,41.324973
2,-82.088177,41.32555
2,-82.086993,41.325854
2,-82.086745,41.325918
2,-82.085131,41.326369
2,-82.083197,41.326924
2,-82.080724,41.327623
2,-82.080452,41.327701
2,-82.079836,41.327873
2,-82.077429,41.32855
2,-82.075693,41.329033
2,-82.074349,41.329426
2,-82.073241,41.329792
2,-82.073093,41.329851
2,-82.072401,41.330123
2,-82.071642,41.330423
2,-82.071204,41.3306
2,-82.071154,41.33062
2,-82.071091,41.330646
2,-82.071049,41.330663
2,-82.070995,41.330698
2,-82.070745,41.330786
2,-82.069413,41.33134
2,-82.068959,41.331529
2,-82.068446,41.331752
2,-82.066685,41.332669
2,-82.066445,41.332809
2,-82.066429,41.332661
2,-82.066415,41.332522
2,-82.066307,41.331611
2,-82.066301,41.33156
2,-82.066251,41.331141
2,-82.066253,41.330886
2,-82.066272,41.330599
2,-82.066309,41.330355
2,-82.066383,41.330097
2,-82.066476,41.329774
2,-82.066594,41.329496
2,-82.066751,41.329191
2,-82.066894,41.328955
2,-82.067058,41.328735
2,-82.067222,41.328532
2,-82.068264,41.327368
2,-82.068605,41.32696
2,-82.06873,41.326774
2,-82.068783,41.326695
2,-82.06884,41.326611
2,-82.068983,41.326322
2,-82.06917,41.325805
2,-82.069204,41.325658
2,-82.069297,41.32526
2,-82.06944,41.324399
2,-82.069507,41.323714
2,-82.069571,41.323059
2,-82.069581,41.32334
2,-82.069624,41.323619
2,-82.069678,41.323819
2,-82.069699,41.323894
2,-82.069805,41.324163
2,-82.069942,41.324425
2,-82.070109,41.324676
2,-82.070153,41.324731
2,-82.070304,41.324915
2,-82.070348,41.32496
2,-82.070526,41.325141
2,-82.070774,41.325352
2,-82.070841,41.325403
